Porto,Mercadoria,Sentido,Volume Diário em Toneladas,Volume Diário em Movs
Santos,"CONTEINERES CHEIOS, CONTEINERES CHEIOS","EMB, DESC","14400, 14400",
Paranaguá,OLEO DIESEL,Imp,"9.971,000",
Santos,"CONTEINERES CHEIOS, CONTEINERES CHEIOS","EMB, DESC","1800, 1800",
Paranaguá,OUTROS OLEOS DE PALMISTE,Imp,"9.159,000",
Santos,"CONTEINERES CHEIOS, CONTEINERES CHEIOS","EMB, DESC","10800, 900",
Paranaguá,OUTROS OLEOS DE DENDE,Imp,"9.159,000",
Santos,"CONTEINERES CHEIOS, CONTEINERES CHEIOS","EMB, DESC","1800, 1800",
Paranaguá,HIDROXIDO DE SODIO EM SOL.AQUO,Imp,"4.557,000",
Santos,"CONTEINERES CHEIOS, CONTEINERES CHEIOS","EMB, DESC","3600, 14400",
Paranaguá,CLORETO DE POTASSIO,Imp,"10.768,000",
Santos,"CONTEINERES CHEIOS, CONTEINERES CHEIOS","EMB, DESC","1800, 10800",
Paranaguá,CLORETO DE POTASSIO,Imp,"18.172,000",
Santos,"CONTEINERES CHEIOS, CONTEINERES CHEIOS","EMB, DESC","1800, 1800",
Paranaguá,CLORETOS DE POTASSIO,Imp,"18.172,000",
Santos,CONTEINERES CHEIOS,"EMB,     ",72,
Paranaguá,AÇÚCAR,Exp,"24.500,000",
Santos,"CONTEINERES CHEIOS, CONTEINERES CHEIOS","EMB, DESC","1620, 15300",
Paranaguá,MALTE,Imp,"12.003,000",
Santos,"CONTEINERES CHEIOS, CONTEINERES CHEIOS","EMB, DESC","1530, 15300",
Paranaguá,UREIA,Imp,"20.660,000",
Santos,"CONTEINERES CHEIOS, CONTEINERES CHEIOS","EMB, DESC","1900, 1900",
Paranaguá,ADUBOS OU FERTILIZANTES C/NITR,Imp,"12.709,000",
Santos,"CONTEINERES CHEIOS, CONTEINERES CHEIOS","EMB, DESC","1800, 1800",
Paranaguá,ADUBOS OU FERTILIZANTES C/NITR,Imp,"20.660,000",
Santos,"CONTEINERES CHEIOS, CONTEINERES VAZIOS","EMB, DESC","12600, 750",
Paranaguá,ADUBOS OU FERTILIZANTES C/NITR,Imp,"33.000,000",
Santos,"CONTEINERES CHEIOS, CONTEINERES CHEIOS","EMB, DESC","5400, 23094",
Paranaguá,ADUBOS OU FERTILIZANTES C/NITR,Imp,"33.000,000",
Santos,"CONTEINERES CHEIOS, CONTEINERES CHEIOS","EMB, DESC","4536, 360",
Paranaguá,MAP,Imp,"57.472,000",
Santos,"CONTEINERES CHEIOS, CONTEINERES CHEIOS","EMB, DESC","1800, 1800",
Santos,CONTEINERES VAZIOS,DESC   ,1350,
Santos,"CONTEINERES CHEIOS, CONTEINERES CHEIOS","EMB, DESC","1800, 1800",
Santos,"CONTEINERES CHEIOS, CONTEINERES CHEIOS","EMB, DESC","1800, 1800",
Santos,"CONTEINERES CHEIOS, CONTEINERES CHEIOS","EMB,     ",3600,
Santos,"CONTEINERES CHEIOS, CONTEINERES CHEIOS","EMB, DESC","1800, 1800",
Santos,"CONTEINERES CHEIOS, CONTEINERES CHEIOS","EMB, DESC","1800, 1800",
Santos,"CONTEINERES CHEIOS, CONTEINERES CHEIOS","EMB, DESC","18666, 126",
Santos,"CONTEINERES CHEIOS, CONTEINERES CHEIOS","EMB, DESC","15300, 1530",
Santos,"CONTEINERES CHEIOS, CONTEINERES CHEIOS","EMB, DESC","16956, 486",
Santos,"CONTEINERES CHEIOS, CONTEINERES CHEIOS","EMB, DESC","1800, 1800",
Santos,"CONTEINERES CHEIOS, CONTEINERES CHEIOS","EMB, DESC","1800, 1800",
Santos,"CONTEINERES CHEIOS, CONTEINERES CHEIOS","EMB, DESC","1800, 1800",
Santos,"CONTEINERES CHEIOS, CONTEINERES CHEIOS","EMB, DESC","1800, 1800",
Santos,"CONTEINERES CHEIOS, CONTEINERES CHEIOS","EMB, DESC","12834, 4266",
Santos,"CONTEINERES CHEIOS, CONTEINERES CHEIOS","EMB, DESC","1530, 15300",
Santos,"CONTEINERES CHEIOS, CONTEINERES CHEIOS","EMB, DESC","1530, 15300",
Santos,"CONTEINERES CHEIOS, CONTEINERES CHEIOS","EMB, DESC","1800, 1800",
Santos,"CONTEINERES CHEIOS, CONTEINERES CHEIOS","EMB, DESC","1800, 1800",
Santos,"CONTEINERES CHEIOS, CONTEINERES CHEIOS","EMB, DESC","1800, 1800",
Santos,"CONTEINERES CHEIOS, CONTEINERES CHEIOS","EMB, DESC","4536, 360",
Santos,"CONTEINERES CHEIOS, CONTEINERES CHEIOS","EMB, DESC","17370, 360",
Santos,"CONTEINERES CHEIOS, CONTEINERES CHEIOS","EMB, DESC","1800, 1800",
Santos,"CONTEINERES CHEIOS, CONTEINERES CHEIOS","EMB, DESC","1800, 1800",
Santos,"CONTEINERES CHEIOS, CONTEINERES CHEIOS","EMB, DESC","21852, 180",
Santos,"CONTEINERES CHEIOS, CONTEINERES CHEIOS","EMB, DESC","10800, 1800",
Santos,"CONTEINERES CHEIOS, CONTEINERES CHEIOS","EMB, DESC","1800, 1800",
Santos,"CONTEINERES CHEIOS, CONTEINERES CHEIOS","EMB, DESC","1800, 1800",
Santos,"CONTEINERES CHEIOS, CONTEINERES CHEIOS","EMB, DESC","1800, 1800",
Santos,"CONTEINERES CHEIOS, CONTEINERES CHEIOS","EMB, DESC","1800, 1800",
Santos,"CONTEINERES CHEIOS, CONTEINERES CHEIOS","EMB, DESC","18666, 126",
Santos,"CONTEINERES CHEIOS, CONTEINERES CHEIOS","EMB, DESC","1620, 15300",
Santos,"CONTEINERES CHEIOS, CONTEINERES CHEIOS","EMB, DESC","12834, 4266",
Santos,"CONTEINERES CHEIOS, CONTEINERES CHEIOS","EMB, DESC","1530, 15300",
Santos,"CONTEINERES CHEIOS, CONTEINERES CHEIOS","EMB, DESC","3600, 14400",
Santos,"CONTEINERES CHEIOS, CONTEINERES CHEIOS","EMB, DESC","900, 10800",
Santos,"CONTEINERES CHEIOS, CONTEINERES CHEIOS","EMB, DESC","15300, 1530",
Santos,"CONTEINERES CHEIOS, CONTEINERES CHEIOS","EMB, DESC","15300, 1530",
Santos,"CONTEINERES CHEIOS, CONTEINERES CHEIOS","EMB, DESC","1530, 15300",
Santos,"CONTEINERES CHEIOS, CONTEINERES CHEIOS","EMB,     ",15300,
Santos,"CONTEINERES CHEIOS, CONTEINERES CHEIOS","EMB, DESC","15300, 1530",
Santos,"CONTEINERES CHEIOS, CONTEINERES CHEIOS","EMB, DESC","15300, 1530",
Santos,"CONTEINERES CHEIOS, CONTEINERES CHEIOS","EMB, DESC","1800, 14400",
Santos,OUTROS,"EMB,     ",1,
Santos,PAPEL E CELULOSE,"EMB,     ",23500,
Santos,PAPEL E CELULOSE,"EMB,     ",36000,
Santos,OUTROS,"EMB,     ",1,
Santos,OUTROS,"EMB,     ",1,
Santos,PAPEL E CELULOSE,"EMB,     ",38000,
Santos,PAPEL E CELULOSE,"EMB,     ",43000,
Santos,BANKER,"EMB,     ",1,
Santos,BANKER,"EMB,     ",1,
Santos,CONSUMO DE BORDO,"EMB,     ",27,
Santos,CARGA GERAL,DESC   ,745,
Santos,CARGA GERAL,"EMB,     ",1,
Santos,CARGA GERAL,DESC   ,10030,
Santos,PAPEL E CELULOSE,"EMB,     ",13000,
Santos,PAPEL E CELULOSE,"EMB,     ",26500,
Santos,CARGA GERAL,"EMB,     ",1,
Santos,SUCOS CITRICOS A GRANEL,"EMB,     ",23000,
Santos,FERTILIZANTES,DESC   ,10014,
Santos,PAPEL E CELULOSE,"EMB,     ",55000,
